fold,gene,rmsd_additive,rmsd_ridge,rmsd_ensemble,rmsd_adaptive,rmsd_residual,pairs_evaluated
1,g0026,0.5629147513518891,0.39613925522518334,0.4521098315360622,0.40685446882421245,0.4521098315360622,15
1,g0027,0.402844535648612,0.39608015124947943,0.3693974560724933,0.38069908121350393,0.3693974560724933,15
1,g0028,0.2170814019536592,0.24466924854420466,0.21835220015416137,0.23184878365538428,0.21835220015416137,15
1,g0029,0.5096452415264829,0.5426646306410743,0.5067229907530177,0.5266800822470564,0.5067229907530177,15
1,g0030,0.1753670229036696,0.13430699284036351,0.15028855013943535,0.13839215232329988,0.15028855013943535,15
1,g0031,0.4080464264331806,0.28434672955376317,0.33634032261000735,0.29877295169515794,0.33634032261000735,15
1,g0032,0.49461528365243357,0.4608130824242158,0.45254027070767805,0.4517126657917731,0.45254027070767805,15
1,g0033,0.44172074398160044,0.4172098571039142,0.40970992662580974,0.409700221732467,0.40970992662580974,15
1,g0034,0.2537202282623306,0.23555151845734384,0.24450753554544413,0.23850653606251224,0.24450753554544413,15
1,g0035,0.3976969715777715,0.23245663053697102,0.2938437266736893,0.24579535813542303,0.2938437266736893,15
1,g0036,0.7187334681995372,0.6081345598229562,0.612555526487809,0.5970931233064769,0.612555526487809,15
1,g0037,0.006205388842097465,0.0038137174313390035,0.004632857401081668,0.003965576755623226,0.004632857401081668,15
1,g0038,0.4753309115568289,0.46674362640411643,0.4645343865253026,0.464442099564546,0.4645343865253026,15
1,g0039,0.29699754766322695,0.28772780154521177,0.28477528221898973,0.284727458715719,0.28477528221898973,15
1,g0040,0.1564336454234704,0.15136117725340062,0.1534825967687598,0.15203760105941028,0.1534825967687598,15
1,g0041,0.6170504325588678,0.39643671802259495,0.47055440730389525,0.4099863912987049,0.47055440730389525,15
1,g0042,0.26280940938902275,0.22571886621560666,0.23258667102820033,0.22513182431257894,0.23258667102820033,15
1,g0043,0.5201976533876934,0.43732242563514534,0.4661012479561964,0.4441608068381817,0.4661012479561964,15
1,g0044,0.46963359861286114,0.4438363232088152,0.42454027577068304,0.4301898703297276,0.42454027577068304,15
1,g0045,0.7480146902553221,0.6535901629426702,0.6852016537712581,0.6615439774981611,0.6852016537712581,15
1,g0046,0.5115374618856788,0.5464583368512154,0.5137752057582372,0.5324198223330213,0.5137752057582372,15
1,g0047,0.36051414875330656,0.36045446342670817,0.3574124332169078,0.35796163142827203,0.3574124332169078,15
1,g0048,0.30214635001988355,0.27857603640623363,0.2717990882255255,0.2720507193867907,0.2717990882255255,15
1,g0049,0.573327908964807,0.49600439830134807,0.529589276805735,0.5059337829983903,0.529589276805735,15
1,g0050,0.4429838653591933,0.4182894755940961,0.42366329635669964,0.4186554360929082,0.42366329635669964,15
1,g0051,0.67112728653074,0.6856338793877482,0.6780298907189513,0.6830226864328168,0.6780298907189513,15
1,g0052,0.18860792088421363,0.20485186878864373,0.19257636765853145,0.19991019645316913,0.19257636765853145,15
1,g0053,0.16673508398057305,0.1963304245301014,0.1721540561745178,0.18625725919413685,0.1721540561745178,15
1,g0054,0.27303649646444306,0.24164706273742872,0.2546141198451347,0.2453023840009893,0.2546141198451347,15
1,g0055,0.6285845128014063,0.5127347572137282,0.5544897293003567,0.525291190553587,0.5544897293003567,15
1,g0056,0.31040647079144745,0.25805273622172925,0.2750609807434165,0.26138447881447996,0.2750609807434165,15
1,g0057,0.37734518509728243,0.30977213339397214,0.3342371312294647,0.3159764599535107,0.3342371312294647,15
1,g0058,0.8323350465583237,0.6454640052286313,0.7193176971595014,0.6647829242804607,0.7193176971595014,15
1,g0059,0.6063035797045878,0.6572238151377087,0.5841968970492263,0.613691612749291,0.5841968970492263,15
1,g0060,0.6519923705318177,0.5111450107918593,0.5753805967990648,0.5351357679993348,0.5753805967990648,15
1,g0061,0.17541429004825865,0.15420488383115266,0.16051323607173282,0.15525894234574023,0.16051323607173282,15
1,g0062,0.2316894741204763,0.16098590515186117,0.1770830940038674,0.16079469545545408,0.1770830940038674,15
1,g0063,0.5079564770785734,0.5096515555257299,0.4820059088138414,0.4946774749830205,0.4820059088138414,15
1,g0064,0.3284883101254558,0.3641606428481025,0.33695476837906985,0.35321584190841,0.33695476837906985,15
1,g0065,0.3646184150539248,0.38340587796391806,0.3723141063275883,0.37934779066511454,0.3723141063275883,15
1,g0066,0.41648342770099983,0.4155042102920502,0.4002343960409053,0.4069805014676405,0.4002343960409053,15
1,g0067,0.314669700571426,0.2644905218117216,0.2827143896168271,0.26895649213399675,0.2827143896168271,15
1,g0068,0.23232720549304156,0.1566393334066936,0.1759412335583081,0.15757892617435174,0.1759412335583081,15
1,g0069,0.2702550355084664,0.2980229630330867,0.28070139864108806,0.29153837346573463,0.28070139864108806,15
1,g0070,0.2505631834702334,0.24451915993990966,0.23999902320718755,0.24133053513107944,0.23999902320718755,15
1,g0071,0.2977368082065203,0.28747932260045267,0.2882282807128829,0.2867089949067201,0.2882282807128829,15
1,g0072,0.910701436742584,0.6893078402012432,0.740001559190151,0.6899565947659139,0.740001559190151,15
1,g0073,0.5315156377925123,0.40335214184288143,0.43123613392796645,0.4028756210673896,0.43123613392796645,15
1,g0074,0.7553753388584575,0.7768173791765217,0.7376949679344296,0.7577454592390628,0.7376949679344296,15
1,g0075,0.6170133140910036,0.5243471512583037,0.5289946858932058,0.515662587132558,0.5289946858932058,15
